text,label
total population getting benefit safe potable drinking water due initiative,1
wrap — ppl electric’s winter relief assistance program — helps customers limited incomes reduce home energy use lower electric bills,1
believe power monitoring help hcms plant reforms future goal achieving lower environmental impact costs higher energy productivity,1
solvents used inks produce almost volatile organic compounds vocs also greatly reduce negative impact work environments,1
going gradual get end year year starting place thats,0
even plan meet sales profit targets thanks growth service business steady progress construction largescale domestic thermal power plants already received orders,0
europe pulp paper mills fall eu emissions trading scheme eu ets south africa government committed introduce carbon tax,0
integration fuel upstream procurement existing overseas power generation energy infrastructure businesses completed july company started fullscale operation one leading energy companies world,0
capital markets day hydro announced new extended improvement ambition aiming achieve improvements nok billion,0
new buildings breeamcertified provide good overall energy environmental quality,1
john know want add anything high level,0
think businesses made commitment looking overall spending plan make sure basically everything become efficient,0
like example decades vp sales didnt vp customer retention,0
commitment life program consists actions focused preventing accidents preserving life environment,1
end eiffage route introduced roadmap – period including per formance indicators measure raw material energy consumption product manufacturing activities region,0
saw agreement announcement say expect delever next couple years levels similar stand today,0
hydrocarbon spills environmental impact spills volume greater barrel ≈ liters counted,0
operations panasonic eco technology center powered electricity derived renewable energy,1
brent said given environment today see management adjusted expense level withstand little bit low wind environment,0
also new contract arrangements flowing different pressures fuel usage much lower,0
we’re including puts takes talk little bit transition,0
weve also said weve looked possibilities things would interest us,0
us software anything else,0
relationships companies like waste management significant partners help us manage,0
certainly hefty investment needs made state renewable energy order meet portfolio standard,0
continue look larger opportunities part robyn would areas focus therapeutic focus,0
group’s shareholders’ equity includes issued ordinary shares retained earnings reserves,0
treated environmentally responsible way primary sludge sold different applications shoe insoles core electronic cards many others,1
“factory ” solution chosen executive management edfs nuclear fleet currently deployed nuclear generation units france,0
great newness stores start new year store team terrific job recovering holidays offered guest strong instore shopping experience,0
eiffage énergie systèmes designs builds maintains operates every kind power station including photovoltaic solar thermal solar windpowered hydroelectric biomass,0
journey weve made massive amount progress architecturally last several years moving entire company,0
costeffective fibrebased solutions made renewable resource lightweight recyclable biodegradable,1
reduced ghg intensity g coekwh,1
working mitigate physical impacts climate change consider resource efficiency making operational decisions,1
common uk pension schemes whilst fund invested oil gas resource companies fund also made significant holdings renewable energy assets,0
