claim,claim_label
global warming is driving polar bears toward extinction,SUPPORTS
the sun has gone into ‘lockdown’ which could cause freezing weather earthquakes and famine say scientists,SUPPORTS
the polar bear population has been growing,REFUTES
ironic study finds more co has slightly cooled the planet,REFUTES
human additions of co are in the margin of error of current measurements and the gradual increase in co is mainly from oceans degassing as the planet slowly emerges from the last ice age,REFUTES
they tell us that we are the primary forces controlling earth temperatures by the burning of fossil fuels and releasing their carbon dioxide,SUPPORTS
the great barrier reef is experiencing the most widespread bleaching ever recorded,SUPPORTS
it’s not a pollutant that threatens human civilization,REFUTES
if co was so terrible for the planet then installing a co generator in a greenhouse would kill the plants,REFUTES
sea level rise has been slow and a constant predating industrialization,REFUTES
earth about to enter year ‘mini ice age’,NOT_ENOUGH_INFO
volcanoes melting west antarctic glaciers not global warming,SUPPORTS
the bushfires in australia were caused by arsonists and a series of lightning strikes not climate change,NOT_ENOUGH_INFO
discovery of massive volcanic co emissions discredits global warming theory,SUPPORTS
harvard study finds that wind turbines create more global warming than the fossil fuels they eliminate,REFUTES
ice berg melts ocean level remains the same,REFUTES
when the exact same group of experts who claimed it was global cooling in now claim its global warming you can easily see why i am skeptical,NOT_ENOUGH_INFO
scientists studying antarctica sea ice warn a rise in accumulation could spark the next ice age,REFUTES
more than scientists and professionals in climate and related fields have sent a european climate declaration to the secretarygeneral of the united nations,SUPPORTS
unprecedented climate change has caused sea level at sydney harbour to rise approximately cm over the past years,REFUTES
humanproduced carbon might be one of the factors of climate change but there’s simply no evidence that it is a significant one,REFUTES
co does not cause climate change it responds to it,SUPPORTS
the raw data the actual thermometer data shows that the us has been cooling for to years,DISPUTED
earth’s mean temperature over the last years shows two previous periods when temperatures were warmer than they are now from – ad an epoch called the roman warm period and more recently the medieval warm period from – ad,SUPPORTS
so that means that probably about half maybe half of that ninetenths of the degree of total warming might be caused by greenhouse gases,DISPUTED
nasa has been adjusting temperatures from the past,NOT_ENOUGH_INFO
a windmill could spin until it falls apart and never generate as much energy as was invested in building it,DISPUTED
fiftyfive thousand years ago the whole world was °c warmer than it is today,NOT_ENOUGH_INFO
sea level rise is not going to happen,REFUTES
cold weather to grip world as solar minimum to deepen nasa says,SUPPORTS
one of the previously fastest shrinking glaciers in the world is growing again calling into question the narrative that rapid climate change,NOT_ENOUGH_INFO
the models predicted about three times the amount of warming in the world we’ve seen since,SUPPORTS
the science is clear climate change is making extreme weather events including tornadoes worse,SUPPORTS
burping cows are more damaging to the climate than all the cars on this planet,NOT_ENOUGH_INFO
sunspot activity on the surface of our star has dropped to a new low,NOT_ENOUGH_INFO
the rate of warming according to the data is much slower than the models used by the ipcc,REFUTES
the ­atmospheric residency time of carbon dioxide is five years,REFUTES
sealevel rise does not seem to depend on ocean temperature and certainly not on co,DISPUTED
there isn’t yet any empirical evidence for their claim that greenhouse gases even cause temperatures to increase,REFUTES
noaa has adjusted past temperatures to look colder than they were and recent temperatures to look warmer than they were,NOT_ENOUGH_INFO
they were going to be gone by now but now theyre setting records,NOT_ENOUGH_INFO
unadjusted data suggests that temperatures in australia have only increased by degrees over the past century not the degree usually claimed,NOT_ENOUGH_INFO
climate scientists say that aspects of the case of hurricane harvey suggest global warming is making a bad situation worse,SUPPORTS
the ipcc the intergovernmental panel on climate change which is sort of the voice of the consensus concedes that there has been no increase in extreme weather events,REFUTES
according again to the official figures—during this past years if anything mean global temperature average world temperature has slightly declined,REFUTES
trumps action could push the earth over the brink to become like venus with a temperature of two hundred and fifty degrees and raining sulphuric acid,NOT_ENOUGH_INFO
most likely the primary control knob on climate change is the ocean waters and this environment that we live in,SUPPORTS
global warming is a myth — so say graphs from peerreviewed scientific papers published in,SUPPORTS
neither the rate nor the magnitude of the reported late twentieth century surface warming – lay outside normal natural variability,NOT_ENOUGH_INFO
forward projections of solar cyclicity imply the next few decades may be marked by global cooling rather than warming despite continuing co emissions,NOT_ENOUGH_INFO
global warming ceased around the end of the twentieth century and was followed since by years of stable temperature,REFUTES
increases in atmospheric co followed increases in temperature,SUPPORTS
therefore co levels could not have forced temperatures to rise,REFUTES
sealevel rise is not accelerating,REFUTES
local and regional sea levels continue to exhibit typical natural variability—in some places rising and in others falling,SUPPORTS
the temperature is not rising nearly as fast as the alarmist computer models predicted,REFUTES
more than per cent of the warming over the past century is due to human actions,SUPPORTS
per cent of the worlds coral reefs will disappear in the next years due to coral bleaching induced by global warming pollution and overdevelopment,SUPPORTS
the warming is not nearly as great as the climate change computer models have predicted,REFUTES
el niño drove record highs in global temperatures suggesting rise may not be down to manmade emissions,REFUTES
increased atmospheric carbon dioxide has helped raise global food production and reduce poverty,REFUTES
